"State","Alterskategorie","Typ","Anzahl","Meta","Type","Content"
"Unterägeri","70-74","Schweizer","187","","",""
"Walchwil","70-74","Schweizer","77","","",""
"Zug","70-74","Schweizer","562","","",""
"Baar","75-79","Schweizer","304","","",""
"Cham","75-79","Schweizer","189","","",""
"Hünenberg","75-79","Schweizer","128","","",""
"Menzingen","75-79","Schweizer","70","","",""
"Neuheim","75-79","Schweizer","28","","",""
"Oberägeri","75-79","Schweizer","77","","",""
"Risch","75-79","Schweizer","77","","",""
"Steinhausen","75-79","Schweizer","130","","",""
"Unterägeri","75-79","Schweizer","135","","",""
"Walchwil","75-79","Schweizer","66","","",""
"Zug","75-79","Schweizer","407","","",""
"Baar","80-84","Schweizer","222","","",""
"Cham","80-84","Schweizer","100","","",""
"Hünenberg","80-84","Schweizer","75","","",""
"Menzingen","80-84","Schweizer","34","","",""
"Neuheim","80-84","Schweizer","13","","",""
"Oberägeri","80-84","Schweizer","51","","",""
"Risch","80-84","Schweizer","49","","",""
"Steinhausen","80-84","Schweizer","74","","",""
"Unterägeri","80-84","Schweizer","91","","",""
"Walchwil","80-84","Schweizer","35","","",""
"Zug","80-84","Schweizer","285","","",""
"Baar","85-89","Schweizer","102","","",""
"Cham","85-89","Schweizer","65","","",""
"Hünenberg","85-89","Schweizer","24","","",""
"Menzingen","85-89","Schweizer","24","","",""
"Neuheim","85-89","Schweizer","1","","",""
"Oberägeri","85-89","Schweizer","29","","",""
"Risch","85-89","Schweizer","30","","",""
"Steinhausen","85-89","Schweizer","53","","",""
"Unterägeri","85-89","Schweizer","46","","",""
"Walchwil","85-89","Schweizer","22","","",""
"Zug","85-89","Schweizer","183","","",""
"Baar","90-94","Schweizer","32","","",""
"Cham","90-94","Schweizer","30","","",""
"Hünenberg","90-94","Schweizer","14","","",""
"Menzingen","90-94","Schweizer","5","","",""
"Neuheim","90-94","Schweizer","0","","",""
"Oberägeri","90-94","Schweizer","7","","",""
"Risch","90-94","Schweizer","15","","",""
"Steinhausen","90-94","Schweizer","12","","",""
"Unterägeri","90-94","Schweizer","8","","",""
"Walchwil","90-94","Schweizer","5","","",""
"Zug","90-94","Schweizer","54","","",""
"Baar","95-99","Schweizer","8","","",""
"Cham","95-99","Schweizer","0","","",""
"Hünenberg","95-99","Schweizer","0","","",""
"Menzingen","95-99","Schweizer","0","","",""
"Neuheim","95-99","Schweizer","0","","",""
"Oberägeri","95-99","Schweizer","3","","",""
"Risch","95-99","Schweizer","1","","",""
"Steinhausen","95-99","Schweizer","0","","",""
"Unterägeri","95-99","Schweizer","1","","",""
"Walchwil","95-99","Schweizer","0","","",""
"Zug","95-99","Schweizer","3","","",""
"Baar","0-4","Schweizerinnen","373","","",""
"Cham","0-4","Schweizerinnen","321","","",""
"Hünenberg","0-4","Schweizerinnen","154","","",""
"Menzingen","0-4","Schweizerinnen","82","","",""
"Neuheim","0-4","Schweizerinnen","35","","",""
"Oberägeri","0-4","Schweizerinnen","102","","",""
"Risch","0-4","Schweizerinnen","191","","",""
"Steinhausen","0-4","Schweizerinnen","169","","",""
"Unterägeri","0-4","Schweizerinnen","124","","",""
"Walchwil","0-4","Schweizerinnen","46","","",""
"Zug","0-4","Schweizerinnen","463","","",""
"Baar","10-14","Schweizerinnen","376","","",""
"Cham","10-14","Schweizerinnen","268","","",""
"Hünenberg","10-14","Schweizerinnen","223","","",""
"Menzingen","10-14","Schweizerinnen","80","","",""
"Neuheim","10-14","Schweizerinnen","39","","",""
"Oberägeri","10-14","Schweizerinnen","121","","",""
"Risch","10-14","Schweizerinnen","164","","",""
"Steinhausen","10-14","Schweizerinnen","175","","",""
"Unterägeri","10-14","Schweizerinnen","157","","",""
"Walchwil","10-14","Schweizerinnen","47","","",""
"Zug","10-14","Schweizerinnen","405","","",""
"Baar","100+","Schweizerinnen","3","","",""
"Cham","100+","Schweizerinnen","2","","",""
"Hünenberg","100+","Schweizerinnen","0","","",""
"Menzingen","100+","Schweizerinnen","0","","",""
"Neuheim","100+","Schweizerinnen","0","","",""
"Oberägeri","100+","Schweizerinnen","0","","",""
"Risch","100+","Schweizerinnen","1","","",""
"Steinhausen","100+","Schweizerinnen","0","","",""
"Unterägeri","100+","Schweizerinnen","0","","",""
"Walchwil","100+","Schweizerinnen","1","","",""
"Zug","100+","Schweizerinnen","3","","",""
"Baar","15-19","Schweizerinnen","484","","",""
"Cham","15-19","Schweizerinnen","300","","",""
"Hünenberg","15-19","Schweizerinnen","247","","",""
"Menzingen","15-19","Schweizerinnen","109","","",""
"Neuheim","15-19","Schweizerinnen","51","","",""
"Oberägeri","15-19","Schweizerinnen","114","","",""
"Risch","15-19","Schweizerinnen","175","","",""
"Steinhausen","15-19","Schweizerinnen","204","","",""
"Unterägeri","15-19","Schweizerinnen","177","","",""
"Walchwil","15-19","Schweizerinnen","73","","",""
"Zug","15-19","Schweizerinnen","392","","",""
"Baar","20-24","Schweizerinnen","490","","",""
"Cham","20-24","Schweizerinnen","377","","",""
"Hünenberg","20-24","Schweizerinnen","184","","",""
"Menzingen","20-24","Schweizerinnen","109","","",""
"Neuheim","20-24","Schweizerinnen","41","","",""
"Oberägeri","20-24","Schweizerinnen","128","","",""
"Risch","20-24","Schweizerinnen","225","","",""
"Steinhausen","20-24","Schweizerinnen","245","","",""
"Unterägeri","20-24","Schweizerinnen","174","","",""
"Walchwil","20-24","Schweizerinnen","59","","",""
"Zug","20-24","Schweizerinnen","477","","",""
"Baar","25-29","Schweizerinnen","555","","",""
"Cham","25-29","Schweizerinnen","361","","",""
"Hünenberg","25-29","Schweizerinnen","177","","",""
"Menzingen","25-29","Schweizerinnen","86","","",""
"Neuheim","25-29","Schweizerinnen","37","","",""
"Oberägeri","25-29","Schweizerinnen","106","","",""
"Risch","25-29","Schweizerinnen","303","","",""
"Steinhausen","25-29","Schweizerinnen","221","","",""
"Unterägeri","25-29","Schweizerinnen","144","","",""
"Walchwil","25-29","Schweizerinnen","51","","",""
"Zug","25-29","Schweizerinnen","599","","",""
"Baar","30-34","Schweizerinnen","521","","",""
"Cham","30-34","Schweizerinnen","356","","",""
"Hünenberg","30-34","Schweizerinnen","170","","",""
"Menzingen","30-34","Schweizerinnen","75","","",""
"Neuheim","30-34","Schweizerinnen","37","","",""
"Oberägeri","30-34","Schweizerinnen","74","","",""
"Risch","30-34","Schweizerinnen","273","","",""
"Steinhausen","30-34","Schweizerinnen","211","","",""
"Unterägeri","30-34","Schweizerinnen","152","","",""
"Walchwil","30-34","Schweizerinnen","52","","",""
"Zug","30-34","Schweizerinnen","651","","",""
"Baar","35-39","Schweizerinnen","509","","",""
"Cham","35-39","Schweizerinnen","341","","",""
"Hünenberg","35-39","Schweizerinnen","189","","",""
"Menzingen","35-39","Schweizerinnen","94","","",""
"Neuheim","35-39","Schweizerinnen","44","","",""
"Oberägeri","35-39","Schweizerinnen","112","","",""
"Risch","35-39","Schweizerinnen","247","","",""
"Steinhausen","35-39","Schweizerinnen","179","","",""
"Unterägeri","35-39","Schweizerinnen","157","","",""
"Walchwil","35-39","Schweizerinnen","41","","",""
"Zug","35-39","Schweizerinnen","604","","",""
"Baar","40-44","Schweizerinnen","566","","",""
"Cham","40-44","Schweizerinnen","412","","",""
"Hünenberg","40-44","Schweizerinnen","253","","",""
"Menzingen","40-44","Schweizerinnen","107","","",""
"Neuheim","40-44","Schweizerinnen","61","","",""
"Oberägeri","40-44","Schweizerinnen","135","","",""
"Risch","40-44","Schweizerinnen","230","","",""
"Steinhausen","40-44","Schweizerinnen","252","","",""
"Unterägeri","40-44","Schweizerinnen","215","","",""
"Walchwil","40-44","Schweizerinnen","65","","",""
"Zug","40-44","Schweizerinnen","619","","",""
"Baar","45-49","Schweizerinnen","674","","",""
"Cham","45-49","Schweizerinnen","483","","",""
"Hünenberg","45-49","Schweizerinnen","318","","",""
"Menzingen","45-49","Schweizerinnen","167","","",""
"Neuheim","45-49","Schweizerinnen","64","","",""
"Oberägeri","45-49","Schweizerinnen","174","","",""
"Risch","45-49","Schweizerinnen","327","","",""
"Steinhausen","45-49","Schweizerinnen","285","","",""
"Unterägeri","45-49","Schweizerinnen","268","","",""
"Walchwil","45-49","Schweizerinnen","81","","",""
"Zug","45-49","Schweizerinnen","705","","",""
"Baar","5-9","Schweizerinnen","373","","",""
"Cham","5-9","Schweizerinnen","301","","",""
"Hünenberg","5-9","Schweizerinnen","188","","",""
"Menzingen","5-9","Schweizerinnen","59","","",""
"Neuheim","5-9","Schweizerinnen","40","","",""
"Oberägeri","5-9","Schweizerinnen","120","","",""
"Risch","5-9","Schweizerinnen","159","","",""
"Steinhausen","5-9","Schweizerinnen","165","","",""
"Unterägeri","5-9","Schweizerinnen","146","","",""
"Walchwil","5-9","Schweizerinnen","37","","",""
"Zug","5-9","Schweizerinnen","431","","",""
"Baar","50-54","Schweizerinnen","723","","",""
"Cham","50-54","Schweizerinnen","546","","",""
"Hünenberg","50-54","Schweizerinnen","332","","",""
"Menzingen","50-54","Schweizerinnen","162","","",""
"Neuheim","50-54","Schweizerinnen","84","","",""
"Oberägeri","50-54","Schweizerinnen","217","","",""
"Risch","50-54","Schweizerinnen","296","","",""
"Steinhausen","50-54","Schweizerinnen","339","","",""
"Unterägeri","50-54","Schweizerinnen","297","","",""
"Walchwil","50-54","Schweizerinnen","115","","",""
"Zug","50-54","Schweizerinnen","763","","",""
"Baar","55-59","Schweizerinnen","630","","",""
"Cham","55-59","Schweizerinnen","450","","",""
"Hünenberg","55-59","Schweizerinnen","277","","",""
"Menzingen","55-59","Schweizerinnen","133","","",""
"Neuheim","55-59","Schweizerinnen","60","","",""
"Oberägeri","55-59","Schweizerinnen","189","","",""
"Risch","55-59","Schweizerinnen","272","","",""
"Steinhausen","55-59","Schweizerinnen","303","","",""
"Unterägeri","55-59","Schweizerinnen","273","","",""
"Walchwil","55-59","Schweizerinnen","98","","",""
"Zug","55-59","Schweizerinnen","677","","",""
"Baar","60-64","Schweizerinnen","502","","",""
"Cham","60-64","Schweizerinnen","408","","",""
"Hünenberg","60-64","Schweizerinnen","227","","",""
"Menzingen","60-64","Schweizerinnen","102","","",""
"Neuheim","60-64","Schweizerinnen","75","","",""
"Oberägeri","60-64","Schweizerinnen","177","","",""
"Risch","60-64","Schweizerinnen","233","","",""
"Steinhausen","60-64","Schweizerinnen","245","","",""
"Unterägeri","60-64","Schweizerinnen","232","","",""
"Walchwil","60-64","Schweizerinnen","97","","",""
"Zug","60-64","Schweizerinnen","651","","",""
"Baar","65-69","Schweizerinnen","488","","",""
"Cham","65-69","Schweizerinnen","339","","",""
"Hünenberg","65-69","Schweizerinnen","237","","",""
"Menzingen","65-69","Schweizerinnen","88","","",""
"Neuheim","65-69","Schweizerinnen","53","","",""
"Oberägeri","65-69","Schweizerinnen","121","","",""
"Risch","65-69","Schweizerinnen","188","","",""
"Steinhausen","65-69","Schweizerinnen","256","","",""
"Unterägeri","65-69","Schweizerinnen","206","","",""
"Walchwil","65-69","Schweizerinnen","91","","",""
"Zug","65-69","Schweizerinnen","628","","",""
"Baar","70-74","Schweizerinnen","474","","",""
"Cham","70-74","Schweizerinnen","300","","",""
"Hünenberg","70-74","Schweizerinnen","200","","",""
"Menzingen","70-74","Schweizerinnen","105","","",""
"Neuheim","70-74","Schweizerinnen","35","","",""
"Oberägeri","70-74","Schweizerinnen","127","","",""
"Risch","70-74","Schweizerinnen","140","","",""
"Steinhausen","70-74","Schweizerinnen","184","","",""
"Unterägeri","70-74","Schweizerinnen","208","","",""
"Walchwil","70-74","Schweizerinnen","72","","",""
"Zug","70-74","Schweizerinnen","620","","",""
"Baar","75-79","Schweizerinnen","404","","",""
"Cham","75-79","Schweizerinnen","229","","",""
"Hünenberg","75-79","Schweizerinnen","121","","",""
"Menzingen","75-79","Schweizerinnen","111","","",""
"Neuheim","75-79","Schweizerinnen","31","","",""
"Oberägeri","75-79","Schweizerinnen","84","","",""
"Risch","75-79","Schweizerinnen","93","","",""
"Steinhausen","75-79","Schweizerinnen","157","","",""
"Unterägeri","75-79","Schweizerinnen","149","","",""
"Walchwil","75-79","Schweizerinnen","66","","",""
"Zug","75-79","Schweizerinnen","500","","",""
"Baar","80-84","Schweizerinnen","279","","",""
"Cham","80-84","Schweizerinnen","197","","",""
"Hünenberg","80-84","Schweizerinnen","70","","",""
"Menzingen","80-84","Schweizerinnen","93","","",""
"Neuheim","80-84","Schweizerinnen","18","","",""
"Oberägeri","80-84","Schweizerinnen","75","","",""
"Risch","80-84","Schweizerinnen","81","","",""
"Steinhausen","80-84","Schweizerinnen","130","","",""
"Unterägeri","80-84","Schweizerinnen","115","","",""
"Walchwil","80-84","Schweizerinnen","41","","",""
"Zug","80-84","Schweizerinnen","420","","",""
"Baar","85-89","Schweizerinnen","193","","",""
"Cham","85-89","Schweizerinnen","111","","",""
"Hünenberg","85-89","Schweizerinnen","45","","",""
"Menzingen","85-89","Schweizerinnen","54","","",""
"Neuheim","85-89","Schweizerinnen","7","","",""
"Oberägeri","85-89","Schweizerinnen","55","","",""
"Risch","85-89","Schweizerinnen","35","","",""
"Steinhausen","85-89","Schweizerinnen","59","","",""
"Unterägeri","85-89","Schweizerinnen","77","","",""
"Walchwil","85-89","Schweizerinnen","26","","",""
"Zug","85-89","Schweizerinnen","317","","",""
"Baar","90-94","Schweizerinnen","70","","",""
"Cham","90-94","Schweizerinnen","43","","",""
"Hünenberg","90-94","Schweizerinnen","15","","",""
"Menzingen","90-94","Schweizerinnen","29","","",""
"Neuheim","90-94","Schweizerinnen","4","","",""
"Oberägeri","90-94","Schweizerinnen","22","","",""
"Risch","90-94","Schweizerinnen","14","","",""
"Steinhausen","90-94","Schweizerinnen","12","","",""
"Unterägeri","90-94","Schweizerinnen","35","","",""
"Walchwil","90-94","Schweizerinnen","18","","",""
"Zug","90-94","Schweizerinnen","144","","",""
"Baar","95-99","Schweizerinnen","15","","",""
"Cham","95-99","Schweizerinnen","10","","",""
"Hünenberg","95-99","Schweizerinnen","3","","",""
"Menzingen","95-99","Schweizerinnen","7","","",""
"Neuheim","95-99","Schweizerinnen","1","","",""
"Oberägeri","95-99","Schweizerinnen","4","","",""
"Risch","95-99","Schweizerinnen","7","","",""
"Steinhausen","95-99","Schweizerinnen","5","","",""
"Unterägeri","95-99","Schweizerinnen","6","","",""
"Walchwil","95-99","Schweizerinnen","1","","",""
"Zug","95-99","Schweizerinnen","27","","",""
"","","","","1","year","2016"
