"Woche","Altersklasse","Anzahl Fälle","Meta","Type","Content"
2020-05-25,"0 - 9 Jahre","31",NA,NA,NA
2020-06-01,"0 - 9 Jahre","44",NA,NA,NA
2020-06-08,"0 - 9 Jahre","60",NA,NA,NA
2020-06-15,"0 - 9 Jahre","69",NA,NA,NA
2020-06-22,"0 - 9 Jahre","29",NA,NA,NA
2020-06-29,"0 - 9 Jahre","23",NA,NA,NA
2020-07-06,"0 - 9 Jahre","20",NA,NA,NA
2020-07-13,"0 - 9 Jahre","17",NA,NA,NA
2020-07-20,"0 - 9 Jahre","13",NA,NA,NA
2020-07-27,"0 - 9 Jahre","12",NA,NA,NA
2020-08-03,"0 - 9 Jahre","10",NA,NA,NA
2020-08-10,"0 - 9 Jahre","11",NA,NA,NA
2020-08-17,"0 - 9 Jahre","20",NA,NA,NA
2020-08-24,"0 - 9 Jahre","29",NA,NA,NA
2020-08-31,"0 - 9 Jahre","25",NA,NA,NA
2020-09-07,"0 - 9 Jahre","21",NA,NA,NA
2020-09-14,"0 - 9 Jahre","14",NA,NA,NA
2020-09-21,"0 - 9 Jahre","8",NA,NA,NA
2020-09-28,"0 - 9 Jahre","23",NA,NA,NA
2020-10-05,"0 - 9 Jahre","15",NA,NA,NA
2020-10-12,"0 - 9 Jahre","16",NA,NA,NA
2020-10-19,"0 - 9 Jahre","21",NA,NA,NA
2020-10-26,"0 - 9 Jahre","20",NA,NA,NA
2020-11-02,"0 - 9 Jahre","25",NA,NA,NA
2020-11-09,"0 - 9 Jahre","42",NA,NA,NA
2020-11-16,"0 - 9 Jahre","37",NA,NA,NA
2020-11-23,"0 - 9 Jahre","23",NA,NA,NA
2020-11-30,"0 - 9 Jahre","31",NA,NA,NA
2020-12-07,"0 - 9 Jahre","35",NA,NA,NA
2020-12-14,"0 - 9 Jahre","101",NA,NA,NA
2020-12-21,"0 - 9 Jahre","41",NA,NA,NA
2020-12-28,"0 - 9 Jahre","14",NA,NA,NA
2021-01-04,"0 - 9 Jahre","30",NA,NA,NA
2021-01-11,"0 - 9 Jahre","29",NA,NA,NA
2021-01-18,"0 - 9 Jahre","48",NA,NA,NA
2021-01-25,"0 - 9 Jahre","61",NA,NA,NA
2021-02-01,"0 - 9 Jahre","130",NA,NA,NA
2021-02-08,"0 - 9 Jahre","85",NA,NA,NA
2021-02-15,"0 - 9 Jahre","26",NA,NA,NA
2021-02-22,"0 - 9 Jahre","21",NA,NA,NA
2021-03-01,"0 - 9 Jahre","26",NA,NA,NA
2021-03-08,"0 - 9 Jahre","79",NA,NA,NA
2021-03-15,"0 - 9 Jahre","75",NA,NA,NA
2020-05-25,"10 - 19 Jahre","20",NA,NA,NA
2020-06-01,"10 - 19 Jahre","27",NA,NA,NA
2020-06-08,"10 - 19 Jahre","70",NA,NA,NA
2020-06-15,"10 - 19 Jahre","103",NA,NA,NA
2020-06-22,"10 - 19 Jahre","112",NA,NA,NA
2020-06-29,"10 - 19 Jahre","161",NA,NA,NA
2020-07-06,"10 - 19 Jahre","94",NA,NA,NA
2020-07-13,"10 - 19 Jahre","80",NA,NA,NA
2020-07-20,"10 - 19 Jahre","47",NA,NA,NA
2020-07-27,"10 - 19 Jahre","46",NA,NA,NA
2020-08-03,"10 - 19 Jahre","50",NA,NA,NA
2020-08-10,"10 - 19 Jahre","58",NA,NA,NA
2020-08-17,"10 - 19 Jahre","72",NA,NA,NA
2020-08-24,"10 - 19 Jahre","124",NA,NA,NA
2020-08-31,"10 - 19 Jahre","154",NA,NA,NA
2020-09-07,"10 - 19 Jahre","182",NA,NA,NA
2020-09-14,"10 - 19 Jahre","194",NA,NA,NA
2020-09-21,"10 - 19 Jahre","144",NA,NA,NA
2020-09-28,"10 - 19 Jahre","154",NA,NA,NA
2020-10-05,"10 - 19 Jahre","149",NA,NA,NA
2020-10-12,"10 - 19 Jahre","229",NA,NA,NA
2020-10-19,"10 - 19 Jahre","316",NA,NA,NA
2020-10-26,"10 - 19 Jahre","303",NA,NA,NA
2020-11-02,"10 - 19 Jahre","330",NA,NA,NA
2020-11-09,"10 - 19 Jahre","283",NA,NA,NA
2020-11-16,"10 - 19 Jahre","225",NA,NA,NA
2020-11-23,"10 - 19 Jahre","206",NA,NA,NA
2020-11-30,"10 - 19 Jahre","237",NA,NA,NA
2020-12-07,"10 - 19 Jahre","255",NA,NA,NA
2020-12-14,"10 - 19 Jahre","417",NA,NA,NA
2020-12-21,"10 - 19 Jahre","207",NA,NA,NA
2020-12-28,"10 - 19 Jahre","135",NA,NA,NA
2021-01-04,"10 - 19 Jahre","213",NA,NA,NA
2021-01-11,"10 - 19 Jahre","181",NA,NA,NA
2021-01-18,"10 - 19 Jahre","316",NA,NA,NA
2021-01-25,"10 - 19 Jahre","295",NA,NA,NA
2021-02-01,"10 - 19 Jahre","407",NA,NA,NA
2021-02-08,"10 - 19 Jahre","301",NA,NA,NA
2021-02-15,"10 - 19 Jahre","150",NA,NA,NA
2021-02-22,"10 - 19 Jahre","1651",NA,NA,NA
2021-03-01,"10 - 19 Jahre","5139",NA,NA,NA
2021-03-08,"10 - 19 Jahre","4850",NA,NA,NA
2021-03-15,"10 - 19 Jahre","2496",NA,NA,NA
2020-05-25,"20 - 29 Jahre","32",NA,NA,NA
2020-06-01,"20 - 29 Jahre","13",NA,NA,NA
2020-06-08,"20 - 29 Jahre","64",NA,NA,NA
2020-06-15,"20 - 29 Jahre","66",NA,NA,NA
2020-06-22,"20 - 29 Jahre","142",NA,NA,NA
2020-06-29,"20 - 29 Jahre","261",NA,NA,NA
2020-07-06,"20 - 29 Jahre","140",NA,NA,NA
2020-07-13,"20 - 29 Jahre","133",NA,NA,NA
2020-07-20,"20 - 29 Jahre","146",NA,NA,NA
2020-07-27,"20 - 29 Jahre","123",NA,NA,NA
2020-08-03,"20 - 29 Jahre","108",NA,NA,NA
2020-08-10,"20 - 29 Jahre","103",NA,NA,NA
2020-08-17,"20 - 29 Jahre","147",NA,NA,NA
2020-08-24,"20 - 29 Jahre","176",NA,NA,NA
2020-08-31,"20 - 29 Jahre","197",NA,NA,NA
2020-09-07,"20 - 29 Jahre","208",NA,NA,NA
2020-09-14,"20 - 29 Jahre","172",NA,NA,NA
2020-09-21,"20 - 29 Jahre","157",NA,NA,NA
2020-09-28,"20 - 29 Jahre","221",NA,NA,NA
2020-10-05,"20 - 29 Jahre","357",NA,NA,NA
2020-10-12,"20 - 29 Jahre","472",NA,NA,NA
2020-10-19,"20 - 29 Jahre","537",NA,NA,NA
2020-10-26,"20 - 29 Jahre","478",NA,NA,NA
2020-11-02,"20 - 29 Jahre","430",NA,NA,NA
2020-11-09,"20 - 29 Jahre","365",NA,NA,NA
2020-11-16,"20 - 29 Jahre","409",NA,NA,NA
2020-11-23,"20 - 29 Jahre","406",NA,NA,NA
2020-11-30,"20 - 29 Jahre","324",NA,NA,NA
2020-12-07,"20 - 29 Jahre","402",NA,NA,NA
2020-12-14,"20 - 29 Jahre","543",NA,NA,NA
2020-12-21,"20 - 29 Jahre","481",NA,NA,NA
2020-12-28,"20 - 29 Jahre","388",NA,NA,NA
2021-01-04,"20 - 29 Jahre","411",NA,NA,NA
2021-01-11,"20 - 29 Jahre","382",NA,NA,NA
2021-01-18,"20 - 29 Jahre","406",NA,NA,NA
2021-01-25,"20 - 29 Jahre","314",NA,NA,NA
2021-02-01,"20 - 29 Jahre","398",NA,NA,NA
2021-02-08,"20 - 29 Jahre","456",NA,NA,NA
2021-02-15,"20 - 29 Jahre","334",NA,NA,NA
2021-02-22,"20 - 29 Jahre","343",NA,NA,NA
2021-03-01,"20 - 29 Jahre","521",NA,NA,NA
2021-03-08,"20 - 29 Jahre","569",NA,NA,NA
2021-03-15,"20 - 29 Jahre","366",NA,NA,NA
2020-05-25,"30 - 39 Jahre","37",NA,NA,NA
2020-06-01,"30 - 39 Jahre","40",NA,NA,NA
2020-06-08,"30 - 39 Jahre","92",NA,NA,NA
2020-06-15,"30 - 39 Jahre","129",NA,NA,NA
2020-06-22,"30 - 39 Jahre","113",NA,NA,NA
2020-06-29,"30 - 39 Jahre","183",NA,NA,NA
2020-07-06,"30 - 39 Jahre","157",NA,NA,NA
2020-07-13,"30 - 39 Jahre","166",NA,NA,NA
2020-07-20,"30 - 39 Jahre","193",NA,NA,NA
2020-07-27,"30 - 39 Jahre","117",NA,NA,NA
2020-08-03,"30 - 39 Jahre","118",NA,NA,NA
2020-08-10,"30 - 39 Jahre","130",NA,NA,NA
2020-08-17,"30 - 39 Jahre","146",NA,NA,NA
2020-08-24,"30 - 39 Jahre","186",NA,NA,NA
2020-08-31,"30 - 39 Jahre","284",NA,NA,NA
2020-09-07,"30 - 39 Jahre","233",NA,NA,NA
2020-09-14,"30 - 39 Jahre","220",NA,NA,NA
2020-09-21,"30 - 39 Jahre","146",NA,NA,NA
2020-09-28,"30 - 39 Jahre","238",NA,NA,NA
2020-10-05,"30 - 39 Jahre","335",NA,NA,NA
2020-10-12,"30 - 39 Jahre","420",NA,NA,NA
2020-10-19,"30 - 39 Jahre","539",NA,NA,NA
2020-10-26,"30 - 39 Jahre","539",NA,NA,NA
2020-11-02,"30 - 39 Jahre","518",NA,NA,NA
2020-11-09,"30 - 39 Jahre","413",NA,NA,NA
2020-11-16,"30 - 39 Jahre","439",NA,NA,NA
2020-11-23,"30 - 39 Jahre","461",NA,NA,NA
2020-11-30,"30 - 39 Jahre","466",NA,NA,NA
2020-12-07,"30 - 39 Jahre","556",NA,NA,NA
2020-12-14,"30 - 39 Jahre","903",NA,NA,NA
