"Woche","Altersklasse","Anzahl Fälle","Meta","Type","Content"
2020-12-21,"30 - 39 Jahre","686",NA,NA,NA
2020-12-28,"30 - 39 Jahre","442",NA,NA,NA
2021-01-04,"30 - 39 Jahre","445",NA,NA,NA
2021-01-11,"30 - 39 Jahre","380",NA,NA,NA
2021-01-18,"30 - 39 Jahre","389",NA,NA,NA
2021-01-25,"30 - 39 Jahre","409",NA,NA,NA
2021-02-01,"30 - 39 Jahre","590",NA,NA,NA
2021-02-08,"30 - 39 Jahre","508",NA,NA,NA
2021-02-15,"30 - 39 Jahre","423",NA,NA,NA
2021-02-22,"30 - 39 Jahre","360",NA,NA,NA
2021-03-01,"30 - 39 Jahre","634",NA,NA,NA
2021-03-08,"30 - 39 Jahre","568",NA,NA,NA
2021-03-15,"30 - 39 Jahre","398",NA,NA,NA
2020-05-25,"40 - 49 Jahre","43",NA,NA,NA
2020-06-01,"40 - 49 Jahre","52",NA,NA,NA
2020-06-08,"40 - 49 Jahre","94",NA,NA,NA
2020-06-15,"40 - 49 Jahre","131",NA,NA,NA
2020-06-22,"40 - 49 Jahre","102",NA,NA,NA
2020-06-29,"40 - 49 Jahre","157",NA,NA,NA
2020-07-06,"40 - 49 Jahre","132",NA,NA,NA
2020-07-13,"40 - 49 Jahre","120",NA,NA,NA
2020-07-20,"40 - 49 Jahre","155",NA,NA,NA
2020-07-27,"40 - 49 Jahre","111",NA,NA,NA
2020-08-03,"40 - 49 Jahre","81",NA,NA,NA
2020-08-10,"40 - 49 Jahre","93",NA,NA,NA
2020-08-17,"40 - 49 Jahre","102",NA,NA,NA
2020-08-24,"40 - 49 Jahre","156",NA,NA,NA
2020-08-31,"40 - 49 Jahre","224",NA,NA,NA
2020-09-07,"40 - 49 Jahre","197",NA,NA,NA
2020-09-14,"40 - 49 Jahre","189",NA,NA,NA
2020-09-21,"40 - 49 Jahre","166",NA,NA,NA
2020-09-28,"40 - 49 Jahre","217",NA,NA,NA
2020-10-05,"40 - 49 Jahre","259",NA,NA,NA
2020-10-12,"40 - 49 Jahre","355",NA,NA,NA
2020-10-19,"40 - 49 Jahre","474",NA,NA,NA
2020-10-26,"40 - 49 Jahre","448",NA,NA,NA
2020-11-02,"40 - 49 Jahre","448",NA,NA,NA
2020-11-09,"40 - 49 Jahre","348",NA,NA,NA
2020-11-16,"40 - 49 Jahre","330",NA,NA,NA
2020-11-23,"40 - 49 Jahre","376",NA,NA,NA
2020-11-30,"40 - 49 Jahre","448",NA,NA,NA
2020-12-07,"40 - 49 Jahre","473",NA,NA,NA
2020-12-14,"40 - 49 Jahre","753",NA,NA,NA
2020-12-21,"40 - 49 Jahre","577",NA,NA,NA
2020-12-28,"40 - 49 Jahre","369",NA,NA,NA
2021-01-04,"40 - 49 Jahre","405",NA,NA,NA
2021-01-11,"40 - 49 Jahre","353",NA,NA,NA
2021-01-18,"40 - 49 Jahre","414",NA,NA,NA
2021-01-25,"40 - 49 Jahre","438",NA,NA,NA
2021-02-01,"40 - 49 Jahre","609",NA,NA,NA
2021-02-08,"40 - 49 Jahre","505",NA,NA,NA
2021-02-15,"40 - 49 Jahre","414",NA,NA,NA
2021-02-22,"40 - 49 Jahre","381",NA,NA,NA
2021-03-01,"40 - 49 Jahre","624",NA,NA,NA
2021-03-08,"40 - 49 Jahre","640",NA,NA,NA
2021-03-15,"40 - 49 Jahre","503",NA,NA,NA
2020-05-25,"50 - 59 Jahre","32",NA,NA,NA
2020-06-01,"50 - 59 Jahre","28",NA,NA,NA
2020-06-08,"50 - 59 Jahre","62",NA,NA,NA
2020-06-15,"50 - 59 Jahre","78",NA,NA,NA
2020-06-22,"50 - 59 Jahre","76",NA,NA,NA
2020-06-29,"50 - 59 Jahre","96",NA,NA,NA
2020-07-06,"50 - 59 Jahre","106",NA,NA,NA
2020-07-13,"50 - 59 Jahre","110",NA,NA,NA
2020-07-20,"50 - 59 Jahre","150",NA,NA,NA
2020-07-27,"50 - 59 Jahre","93",NA,NA,NA
2020-08-03,"50 - 59 Jahre","81",NA,NA,NA
2020-08-10,"50 - 59 Jahre","80",NA,NA,NA
2020-08-17,"50 - 59 Jahre","115",NA,NA,NA
2020-08-24,"50 - 59 Jahre","108",NA,NA,NA
2020-08-31,"50 - 59 Jahre","159",NA,NA,NA
2020-09-07,"50 - 59 Jahre","154",NA,NA,NA
2020-09-14,"50 - 59 Jahre","125",NA,NA,NA
2020-09-21,"50 - 59 Jahre","136",NA,NA,NA
2020-09-28,"50 - 59 Jahre","146",NA,NA,NA
2020-10-05,"50 - 59 Jahre","241",NA,NA,NA
2020-10-12,"50 - 59 Jahre","336",NA,NA,NA
2020-10-19,"50 - 59 Jahre","481",NA,NA,NA
2020-10-26,"50 - 59 Jahre","479",NA,NA,NA
2020-11-02,"50 - 59 Jahre","375",NA,NA,NA
2020-11-09,"50 - 59 Jahre","331",NA,NA,NA
2020-11-16,"50 - 59 Jahre","382",NA,NA,NA
2020-11-23,"50 - 59 Jahre","389",NA,NA,NA
2020-11-30,"50 - 59 Jahre","436",NA,NA,NA
2020-12-07,"50 - 59 Jahre","423",NA,NA,NA
2020-12-14,"50 - 59 Jahre","673",NA,NA,NA
2020-12-21,"50 - 59 Jahre","496",NA,NA,NA
2020-12-28,"50 - 59 Jahre","325",NA,NA,NA
2021-01-04,"50 - 59 Jahre","385",NA,NA,NA
2021-01-11,"50 - 59 Jahre","335",NA,NA,NA
2021-01-18,"50 - 59 Jahre","346",NA,NA,NA
2021-01-25,"50 - 59 Jahre","362",NA,NA,NA
2021-02-01,"50 - 59 Jahre","457",NA,NA,NA
2021-02-08,"50 - 59 Jahre","403",NA,NA,NA
2021-02-15,"50 - 59 Jahre","363",NA,NA,NA
2021-02-22,"50 - 59 Jahre","434",NA,NA,NA
2021-03-01,"50 - 59 Jahre","667",NA,NA,NA
2021-03-08,"50 - 59 Jahre","634",NA,NA,NA
2021-03-15,"50 - 59 Jahre","448",NA,NA,NA
2020-05-25,"60 - 69 Jahre","26",NA,NA,NA
2020-06-01,"60 - 69 Jahre","22",NA,NA,NA
2020-06-08,"60 - 69 Jahre","36",NA,NA,NA
2020-06-15,"60 - 69 Jahre","38",NA,NA,NA
2020-06-22,"60 - 69 Jahre","45",NA,NA,NA
2020-06-29,"60 - 69 Jahre","54",NA,NA,NA
2020-07-06,"60 - 69 Jahre","62",NA,NA,NA
2020-07-13,"60 - 69 Jahre","70",NA,NA,NA
2020-07-20,"60 - 69 Jahre","71",NA,NA,NA
2020-07-27,"60 - 69 Jahre","59",NA,NA,NA
2020-08-03,"60 - 69 Jahre","44",NA,NA,NA
2020-08-10,"60 - 69 Jahre","48",NA,NA,NA
2020-08-17,"60 - 69 Jahre","45",NA,NA,NA
2020-08-24,"60 - 69 Jahre","61",NA,NA,NA
2020-08-31,"60 - 69 Jahre","63",NA,NA,NA
2020-09-07,"60 - 69 Jahre","87",NA,NA,NA
2020-09-14,"60 - 69 Jahre","67",NA,NA,NA
2020-09-21,"60 - 69 Jahre","67",NA,NA,NA
2020-09-28,"60 - 69 Jahre","84",NA,NA,NA
2020-10-05,"60 - 69 Jahre","125",NA,NA,NA
2020-10-12,"60 - 69 Jahre","142",NA,NA,NA
2020-10-19,"60 - 69 Jahre","234",NA,NA,NA
2020-10-26,"60 - 69 Jahre","224",NA,NA,NA
2020-11-02,"60 - 69 Jahre","199",NA,NA,NA
2020-11-09,"60 - 69 Jahre","183",NA,NA,NA
2020-11-16,"60 - 69 Jahre","215",NA,NA,NA
2020-11-23,"60 - 69 Jahre","210",NA,NA,NA
2020-11-30,"60 - 69 Jahre","188",NA,NA,NA
2020-12-07,"60 - 69 Jahre","242",NA,NA,NA
2020-12-14,"60 - 69 Jahre","292",NA,NA,NA
2020-12-21,"60 - 69 Jahre","265",NA,NA,NA
2020-12-28,"60 - 69 Jahre","226",NA,NA,NA
2021-01-04,"60 - 69 Jahre","253",NA,NA,NA
2021-01-11,"60 - 69 Jahre","217",NA,NA,NA
2021-01-18,"60 - 69 Jahre","196",NA,NA,NA
2021-01-25,"60 - 69 Jahre","210",NA,NA,NA
2021-02-01,"60 - 69 Jahre","216",NA,NA,NA
2021-02-08,"60 - 69 Jahre","210",NA,NA,NA
2021-02-15,"60 - 69 Jahre","273",NA,NA,NA
2021-02-22,"60 - 69 Jahre","218",NA,NA,NA
2021-03-01,"60 - 69 Jahre","332",NA,NA,NA
2021-03-08,"60 - 69 Jahre","300",NA,NA,NA
2021-03-15,"60 - 69 Jahre","212",NA,NA,NA
2020-05-25,"70 - 79 Jahre","10",NA,NA,NA
2020-06-01,"70 - 79 Jahre","13",NA,NA,NA
2020-06-08,"70 - 79 Jahre","13",NA,NA,NA
2020-06-15,"70 - 79 Jahre","22",NA,NA,NA
2020-06-22,"70 - 79 Jahre","22",NA,NA,NA
2020-06-29,"70 - 79 Jahre","37",NA,NA,NA
2020-07-06,"70 - 79 Jahre","56",NA,NA,NA
2020-07-13,"70 - 79 Jahre","44",NA,NA,NA
2020-07-20,"70 - 79 Jahre","26",NA,NA,NA
2020-07-27,"70 - 79 Jahre","22",NA,NA,NA
2020-08-03,"70 - 79 Jahre","14",NA,NA,NA
2020-08-10,"70 - 79 Jahre","19",NA,NA,NA
2020-08-17,"70 - 79 Jahre","25",NA,NA,NA
2020-08-24,"70 - 79 Jahre","25",NA,NA,NA
2020-08-31,"70 - 79 Jahre","28",NA,NA,NA
2020-09-07,"70 - 79 Jahre","40",NA,NA,NA
2020-09-14,"70 - 79 Jahre","41",NA,NA,NA
2020-09-21,"70 - 79 Jahre","42",NA,NA,NA
2020-09-28,"70 - 79 Jahre","37",NA,NA,NA
2020-10-05,"70 - 79 Jahre","65",NA,NA,NA
2020-10-12,"70 - 79 Jahre","69",NA,NA,NA
2020-10-19,"70 - 79 Jahre","110",NA,NA,NA
2020-10-26,"70 - 79 Jahre","109",NA,NA,NA
2020-11-02,"70 - 79 Jahre","110",NA,NA,NA
2020-11-09,"70 - 79 Jahre","92",NA,NA,NA
2020-11-16,"70 - 79 Jahre","119",NA,NA,NA
2020-11-23,"70 - 79 Jahre","109",NA,NA,NA
2020-11-30,"70 - 79 Jahre","86",NA,NA,NA
2020-12-07,"70 - 79 Jahre","121",NA,NA,NA
2020-12-14,"70 - 79 Jahre","140",NA,NA,NA
2020-12-21,"70 - 79 Jahre","129",NA,NA,NA
2020-12-28,"70 - 79 Jahre","101",NA,NA,NA
2021-01-04,"70 - 79 Jahre","125",NA,NA,NA
2021-01-11,"70 - 79 Jahre","111",NA,NA,NA
2021-01-18,"70 - 79 Jahre","109",NA,NA,NA
2021-01-25,"70 - 79 Jahre","86",NA,NA,NA
2021-02-01,"70 - 79 Jahre","122",NA,NA,NA
2021-02-08,"70 - 79 Jahre","79",NA,NA,NA
2021-02-15,"70 - 79 Jahre","109",NA,NA,NA
2021-02-22,"70 - 79 Jahre","72",NA,NA,NA
2021-03-01,"70 - 79 Jahre","104",NA,NA,NA
2021-03-08,"70 - 79 Jahre","90",NA,NA,NA
2021-03-15,"70 - 79 Jahre","81",NA,NA,NA
2020-05-25,"80+ Jahre","25",NA,NA,NA
2020-06-01,"80+ Jahre","8",NA,NA,NA
2020-06-08,"80+ Jahre","12",NA,NA,NA
2020-06-15,"80+ Jahre","10",NA,NA,NA
2020-06-22,"80+ Jahre","19",NA,NA,NA
2020-06-29,"80+ Jahre","20",NA,NA,NA
2020-07-06,"80+ Jahre","84",NA,NA,NA
2020-07-13,"80+ Jahre","36",NA,NA,NA
2020-07-20,"80+ Jahre","24",NA,NA,NA
2020-07-27,"80+ Jahre","20",NA,NA,NA
2020-08-03,"80+ Jahre","17",NA,NA,NA
2020-08-10,"80+ Jahre","16",NA,NA,NA
2020-08-17,"80+ Jahre","13",NA,NA,NA
2020-08-24,"80+ Jahre","17",NA,NA,NA
2020-08-31,"80+ Jahre","20",NA,NA,NA
2020-09-07,"80+ Jahre","31",NA,NA,NA
2020-09-14,"80+ Jahre","42",NA,NA,NA
2020-09-21,"80+ Jahre","16",NA,NA,NA
2020-09-28,"80+ Jahre","25",NA,NA,NA
2020-10-05,"80+ Jahre","33",NA,NA,NA
2020-10-12,"80+ Jahre","41",NA,NA,NA
2020-10-19,"80+ Jahre","76",NA,NA,NA
2020-10-26,"80+ Jahre","116",NA,NA,NA
2020-11-02,"80+ Jahre","60",NA,NA,NA
2020-11-09,"80+ Jahre","104",NA,NA,NA
2020-11-16,"80+ Jahre","98",NA,NA,NA
2020-11-23,"80+ Jahre","94",NA,NA,NA
2020-11-30,"80+ Jahre","150",NA,NA,NA
2020-12-07,"80+ Jahre","96",NA,NA,NA
2020-12-14,"80+ Jahre","102",NA,NA,NA
2020-12-21,"80+ Jahre","99",NA,NA,NA
2020-12-28,"80+ Jahre","109",NA,NA,NA
2021-01-04,"80+ Jahre","197",NA,NA,NA
2021-01-11,"80+ Jahre","143",NA,NA,NA
2021-01-18,"80+ Jahre","92",NA,NA,NA
2021-01-25,"80+ Jahre","91",NA,NA,NA
2021-02-01,"80+ Jahre","106",NA,NA,NA
2021-02-08,"80+ Jahre","67",NA,NA,NA
2021-02-15,"80+ Jahre","65",NA,NA,NA
2021-02-22,"80+ Jahre","54",NA,NA,NA
2021-03-01,"80+ Jahre","57",NA,NA,NA
2021-03-08,"80+ Jahre","47",NA,NA,NA
2021-03-15,"80+ Jahre","38",NA,NA,NA
2020-05-25,"Unbekannt","0",NA,NA,NA
2020-06-01,"Unbekannt","0",NA,NA,NA
2020-06-08,"Unbekannt","0",NA,NA,NA
2020-06-15,"Unbekannt","0",NA,NA,NA
2020-06-22,"Unbekannt","0",NA,NA,NA
2020-06-29,"Unbekannt","0",NA,NA,NA
2020-07-06,"Unbekannt","0",NA,NA,NA
2020-07-13,"Unbekannt","0",NA,NA,NA
2020-07-20,"Unbekannt","0",NA,NA,NA
2020-07-27,"Unbekannt","0",NA,NA,NA
2020-08-03,"Unbekannt","0",NA,NA,NA
2020-08-10,"Unbekannt","0",NA,NA,NA
2020-08-17,"Unbekannt","0",NA,NA,NA
2020-08-24,"Unbekannt","0",NA,NA,NA
2020-08-31,"Unbekannt","0",NA,NA,NA
2020-09-07,"Unbekannt","0",NA,NA,NA
2020-09-14,"Unbekannt","0",NA,NA,NA
2020-09-21,"Unbekannt","0",NA,NA,NA
2020-09-28,"Unbekannt","0",NA,NA,NA
2020-10-05,"Unbekannt","0",NA,NA,NA
2020-10-12,"Unbekannt","0",NA,NA,NA
2020-10-19,"Unbekannt","0",NA,NA,NA
2020-10-26,"Unbekannt","0",NA,NA,NA
2020-11-02,"Unbekannt","0",NA,NA,NA
2020-11-09,"Unbekannt","0",NA,NA,NA
2020-11-16,"Unbekannt","1",NA,NA,NA
2020-11-23,"Unbekannt","1",NA,NA,NA
2020-11-30,"Unbekannt","1",NA,NA,NA
2020-12-07,"Unbekannt","0",NA,NA,NA
2020-12-14,"Unbekannt","0",NA,NA,NA
2020-12-21,"Unbekannt","0",NA,NA,NA
2020-12-28,"Unbekannt","0",NA,NA,NA
2021-01-04,"Unbekannt","1",NA,NA,NA
2021-01-11,"Unbekannt","0",NA,NA,NA
2021-01-18,"Unbekannt","0",NA,NA,NA
2021-01-25,"Unbekannt","0",NA,NA,NA
2021-02-01,"Unbekannt","0",NA,NA,NA
2021-02-08,"Unbekannt","0",NA,NA,NA
2021-02-15,"Unbekannt","0",NA,NA,NA
2021-02-22,"Unbekannt","0",NA,NA,NA
2021-03-01,"Unbekannt","1",NA,NA,NA
2021-03-08,"Unbekannt","5",NA,NA,NA
2021-03-15,"Unbekannt","0",NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,integer"
NA,NA,NA,"1","title","Durchgeführte COVID-19-Tests nach Alterskategorien im Zeitverlauf"
NA,NA,NA,"1","subtitle","Datenstand: 19.03.2021"
NA,NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Die Anzahl durgeführter Tests ist erst ab dem 25.5.2020 auf kantonaler Ebene verfügbar."
NA,NA,NA,"1","source","Bundesamt für Gesundheit"
