"Kanton","Bezirk","Gemeinde","Anzahl","Meta","Type","Content"
"Zürich","","Zürich","6284",NA,NA,NA
"Zürich","Bezirk Horgen","Horgen","346",NA,NA,NA
"Zürich","Bezirk Horgen","Adliswil","221",NA,NA,NA
"Zürich","Bezirk Horgen","Thalwil","191",NA,NA,NA
"Zürich","Bezirk Horgen","Wädenswil","151",NA,NA,NA
"Zürich","Bezirk Horgen","Kilchberg (ZH)","70",NA,NA,NA
"Zürich","Bezirk Horgen","Richterswil","56",NA,NA,NA
"Zürich","Bezirk Horgen","Rüschlikon","49",NA,NA,NA
"Zürich","Bezirk Horgen","Langnau am Albis","33",NA,NA,NA
"Zürich","Bezirk Horgen","Hütten","15",NA,NA,NA
"Zürich","Bezirk Horgen","Oberrieden","10",NA,NA,NA
"Zürich","Bezirk Horgen","Schönenberg (ZH)","8",NA,NA,NA
"Zürich","Bezirk Affoltern","Affoltern am Albis","391",NA,NA,NA
"Zürich","Bezirk Affoltern","Mettmenstetten","127",NA,NA,NA
"Zürich","Bezirk Affoltern","Hausen am Albis","86",NA,NA,NA
"Zürich","Bezirk Affoltern","Knonau","65",NA,NA,NA
"Zürich","Bezirk Affoltern","Hedingen","49",NA,NA,NA
"Zürich","Bezirk Affoltern","Wettswil am Albis","32",NA,NA,NA
"Zürich","Bezirk Affoltern","Kappel am Albis","31",NA,NA,NA
"Zürich","Bezirk Affoltern","Obfelden","24",NA,NA,NA
"Zürich","Bezirk Affoltern","Rifferswil","15",NA,NA,NA
"Zürich","Bezirk Affoltern","Bonstetten","14",NA,NA,NA
"Zürich","Bezirk Affoltern","Ottenbach","14",NA,NA,NA
"Zürich","Bezirk Affoltern","Aeugst am Albis","12",NA,NA,NA
"Zürich","Bezirk Affoltern","Stallikon","5",NA,NA,NA
"Zürich","Bezirk Bülach","Kloten","273",NA,NA,NA
"Zürich","Bezirk Bülach","Wallisellen","157",NA,NA,NA
"Zürich","Bezirk Bülach","Opfikon","147",NA,NA,NA
"Zürich","Bezirk Bülach","Bülach","24",NA,NA,NA
"Zürich","Bezirk Bülach","Bassersdorf","17",NA,NA,NA
"Zürich","Bezirk Bülach","Dietlikon","16",NA,NA,NA
