"Typ","Datum","Anzahl","Meta","Type","Content"
"Isolation","01.03.2020","0",NA,NA,NA
"Isolation","02.03.2020","0.285714285714286",NA,NA,NA
"Isolation","03.03.2020","0.571428571428571",NA,NA,NA
"Isolation","04.03.2020","0.857142857142857",NA,NA,NA
"Isolation","05.03.2020","1.28571428571429",NA,NA,NA
"Isolation","06.03.2020","1.71428571428571",NA,NA,NA
"Isolation","07.03.2020","2.42857142857143",NA,NA,NA
"Isolation","08.03.2020","3.42857142857143",NA,NA,NA
"Isolation","09.03.2020","4.14285714285714",NA,NA,NA
"Isolation","10.03.2020","4.85714285714286",NA,NA,NA
"Isolation","11.03.2020","5.42857142857143",NA,NA,NA
"Isolation","12.03.2020","5.85714285714286",NA,NA,NA
"Isolation","13.03.2020","6.57142857142857",NA,NA,NA
"Isolation","14.03.2020","7.28571428571429",NA,NA,NA
"Isolation","15.03.2020","7.85714285714286",NA,NA,NA
"Isolation","16.03.2020","9.57142857142857",NA,NA,NA
"Isolation","17.03.2020","11.7142857142857",NA,NA,NA
"Isolation","18.03.2020","14.5714285714286",NA,NA,NA
"Isolation","19.03.2020","18.5714285714286",NA,NA,NA
"Isolation","20.03.2020","23.1428571428571",NA,NA,NA
"Isolation","21.03.2020","27.8571428571429",NA,NA,NA
"Isolation","22.03.2020","32.4285714285714",NA,NA,NA
"Isolation","23.03.2020","37.1428571428571",NA,NA,NA
"Isolation","24.03.2020","41.8571428571429",NA,NA,NA
"Isolation","25.03.2020","45.8571428571429",NA,NA,NA
"Isolation","26.03.2020","49.5714285714286",NA,NA,NA
"Isolation","27.03.2020","52.8571428571429",NA,NA,NA
"Isolation","28.03.2020","55.4285714285714",NA,NA,NA
"Isolation","29.03.2020","58.5714285714286",NA,NA,NA
"Isolation","30.03.2020","59.8571428571429",NA,NA,NA
"Isolation","31.03.2020","60.5714285714286",NA,NA,NA
"Isolation","01.04.2020","61.4285714285714",NA,NA,NA
"Isolation","02.04.2020","61.7142857142857",NA,NA,NA
"Isolation","03.04.2020","62",NA,NA,NA
"Isolation","04.04.2020","62.7142857142857",NA,NA,NA
"Isolation","05.04.2020","62.4285714285714",NA,NA,NA
"Isolation","06.04.2020","62.4285714285714",NA,NA,NA
"Isolation","07.04.2020","62.7142857142857",NA,NA,NA
"Isolation","08.04.2020","62.5714285714286",NA,NA,NA
"Isolation","09.04.2020","61.1428571428571",NA,NA,NA
"Isolation","10.04.2020","58.1428571428571",NA,NA,NA
"Isolation","11.04.2020","54.5714285714286",NA,NA,NA
"Isolation","12.04.2020","51.1428571428571",NA,NA,NA
"Isolation","13.04.2020","47.5714285714286",NA,NA,NA
"Isolation","14.04.2020","43.1428571428571",NA,NA,NA
"Isolation","15.04.2020","38",NA,NA,NA
"Isolation","16.04.2020","33.5714285714286",NA,NA,NA
"Isolation","17.04.2020","30.1428571428571",NA,NA,NA
"Isolation","18.04.2020","26.8571428571429",NA,NA,NA
"Isolation","19.04.2020","23.7142857142857",NA,NA,NA
"Isolation","20.04.2020","21.1428571428571",NA,NA,NA
"Isolation","21.04.2020","18.8571428571429",NA,NA,NA
"Isolation","22.04.2020","17.4285714285714",NA,NA,NA
"Isolation","23.04.2020","16",NA,NA,NA
"Isolation","24.04.2020","14.7142857142857",NA,NA,NA
"Isolation","25.04.2020","14",NA,NA,NA
"Isolation","26.04.2020","13.5714285714286",NA,NA,NA
"Isolation","27.04.2020","12.8571428571429",NA,NA,NA
"Isolation","28.04.2020","11.8571428571429",NA,NA,NA
"Isolation","29.04.2020","11.2857142857143",NA,NA,NA
"Isolation","30.04.2020","11.1428571428571",NA,NA,NA
"Isolation","01.05.2020","10.7142857142857",NA,NA,NA
"Isolation","02.05.2020","10",NA,NA,NA
"Isolation","03.05.2020","8.85714285714286",NA,NA,NA
"Isolation","04.05.2020","8.14285714285714",NA,NA,NA
"Isolation","05.05.2020","8",NA,NA,NA
"Isolation","06.05.2020","7.71428571428571",NA,NA,NA
"Isolation","07.05.2020","7.28571428571429",NA,NA,NA
"Isolation","08.05.2020","7.28571428571429",NA,NA,NA
"Isolation","09.05.2020","7.14285714285714",NA,NA,NA
"Isolation","10.05.2020","7.28571428571429",NA,NA,NA
"Isolation","11.05.2020","7.14285714285714",NA,NA,NA
"Isolation","12.05.2020","7.28571428571429",NA,NA,NA
"Isolation","13.05.2020","7.57142857142857",NA,NA,NA
"Isolation","14.05.2020","8",NA,NA,NA
"Isolation","15.05.2020","8.28571428571429",NA,NA,NA
"Isolation","16.05.2020","8.71428571428571",NA,NA,NA
"Isolation","17.05.2020","9",NA,NA,NA
"Isolation","18.05.2020","9.28571428571429",NA,NA,NA
"Isolation","19.05.2020","9.14285714285714",NA,NA,NA
"Isolation","20.05.2020","8.85714285714286",NA,NA,NA
"Isolation","21.05.2020","8.14285714285714",NA,NA,NA
"Isolation","22.05.2020","7.42857142857143",NA,NA,NA
"Isolation","23.05.2020","6.71428571428571",NA,NA,NA
"Isolation","24.05.2020","5.85714285714286",NA,NA,NA
"Isolation","25.05.2020","5.14285714285714",NA,NA,NA
"Isolation","26.05.2020","4.71428571428571",NA,NA,NA
"Isolation","27.05.2020","4.28571428571429",NA,NA,NA
"Isolation","28.05.2020","4",NA,NA,NA
"Isolation","29.05.2020","3.71428571428571",NA,NA,NA
"Isolation","30.05.2020","3.14285714285714",NA,NA,NA
"Isolation","31.05.2020","2.85714285714286",NA,NA,NA
"Isolation","01.06.2020","2.42857142857143",NA,NA,NA
"Isolation","02.06.2020","1.85714285714286",NA,NA,NA
"Isolation","03.06.2020","1.28571428571429",NA,NA,NA
"Isolation","04.06.2020","0.857142857142857",NA,NA,NA
"Isolation","05.06.2020","0.428571428571429",NA,NA,NA
"Isolation","06.06.2020","0.285714285714286",NA,NA,NA
"Isolation","07.06.2020","0.142857142857143",NA,NA,NA
"Isolation","08.06.2020","0.142857142857143",NA,NA,NA
"Isolation","09.06.2020","0.571428571428571",NA,NA,NA
"Isolation","10.06.2020","1.42857142857143",NA,NA,NA
"Isolation","11.06.2020","2.28571428571429",NA,NA,NA
"Isolation","12.06.2020","3.57142857142857",NA,NA,NA
"Isolation","13.06.2020","4.85714285714286",NA,NA,NA
"Isolation","14.06.2020","6.14285714285714",NA,NA,NA
"Isolation","15.06.2020","7.28571428571429",NA,NA,NA
"Isolation","16.06.2020","8.28571428571429",NA,NA,NA
"Isolation","17.06.2020","8.71428571428571",NA,NA,NA
"Isolation","18.06.2020","8.85714285714286",NA,NA,NA
"Isolation","19.06.2020","8.28571428571429",NA,NA,NA
"Isolation","20.06.2020","7.71428571428571",NA,NA,NA
"Isolation","21.06.2020","7.14285714285714",NA,NA,NA
"Isolation","22.06.2020","6.71428571428571",NA,NA,NA
"Isolation","23.06.2020","6.28571428571429",NA,NA,NA
"Isolation","24.06.2020","5.85714285714286",NA,NA,NA
"Isolation","25.06.2020","6",NA,NA,NA
"Isolation","26.06.2020","6.28571428571429",NA,NA,NA
"Isolation","27.06.2020","6.71428571428571",NA,NA,NA
"Isolation","28.06.2020","7",NA,NA,NA
"Isolation","29.06.2020","7.14285714285714",NA,NA,NA
"Isolation","30.06.2020","7.28571428571429",NA,NA,NA
"Isolation","01.07.2020","8",NA,NA,NA
"Isolation","02.07.2020","9",NA,NA,NA
"Isolation","03.07.2020","10.4285714285714",NA,NA,NA
"Isolation","04.07.2020","11.5714285714286",NA,NA,NA
"Isolation","05.07.2020","12.8571428571429",NA,NA,NA
"Isolation","06.07.2020","14.1428571428571",NA,NA,NA
"Isolation","07.07.2020","15.2857142857143",NA,NA,NA
"Isolation","08.07.2020","16",NA,NA,NA
"Isolation","09.07.2020","15.7142857142857",NA,NA,NA
"Isolation","10.07.2020","15.1428571428571",NA,NA,NA
"Isolation","11.07.2020","14.8571428571429",NA,NA,NA
"Isolation","12.07.2020","14.5714285714286",NA,NA,NA
"Isolation","13.07.2020","14.4285714285714",NA,NA,NA
"Isolation","14.07.2020","14.5714285714286",NA,NA,NA
"Isolation","15.07.2020","14.4285714285714",NA,NA,NA
"Isolation","16.07.2020","15.2857142857143",NA,NA,NA
"Isolation","17.07.2020","16.2857142857143",NA,NA,NA
"Isolation","18.07.2020","17",NA,NA,NA
"Isolation","19.07.2020","17.7142857142857",NA,NA,NA
"Isolation","20.07.2020","17.7142857142857",NA,NA,NA
"Isolation","21.07.2020","17.5714285714286",NA,NA,NA
"Isolation","22.07.2020","17.5714285714286",NA,NA,NA
"Isolation","23.07.2020","17",NA,NA,NA
"Isolation","24.07.2020","16",NA,NA,NA
"Isolation","25.07.2020","15.1428571428571",NA,NA,NA
"Isolation","26.07.2020","14.2857142857143",NA,NA,NA
"Isolation","27.07.2020","13.8571428571429",NA,NA,NA
"Isolation","28.07.2020","14",NA,NA,NA
"Isolation","29.07.2020","14.4285714285714",NA,NA,NA
"Isolation","30.07.2020","15.1428571428571",NA,NA,NA
"Isolation","31.07.2020","16.2857142857143",NA,NA,NA
"Isolation","01.08.2020","17.5714285714286",NA,NA,NA
"Isolation","02.08.2020","18.1428571428571",NA,NA,NA
"Isolation","03.08.2020","18.8571428571429",NA,NA,NA
"Isolation","04.08.2020","18.5714285714286",NA,NA,NA
"Isolation","05.08.2020","18",NA,NA,NA
"Isolation","06.08.2020","17.1428571428571",NA,NA,NA
