"Woche","Altersklasse","Anzahl Fälle","Meta","Type","Content"
2020-06-01,"30 - 39 Jahre","0",NA,NA,NA
2020-06-01,"40 - 49 Jahre","0",NA,NA,NA
2020-06-01,"50 - 59 Jahre","0",NA,NA,NA
2020-06-01,"60 - 69 Jahre","0",NA,NA,NA
2020-06-01,"70 - 79 Jahre","0",NA,NA,NA
2020-06-01,"80+ Jahre","0",NA,NA,NA
2020-06-08,"0 - 9 Jahre","0",NA,NA,NA
2020-06-08,"10 - 19 Jahre","0",NA,NA,NA
2020-06-08,"20 - 29 Jahre","0",NA,NA,NA
2020-06-08,"30 - 39 Jahre","0",NA,NA,NA
2020-06-08,"40 - 49 Jahre","0",NA,NA,NA
2020-06-08,"50 - 59 Jahre","0",NA,NA,NA
2020-06-08,"60 - 69 Jahre","0",NA,NA,NA
2020-06-08,"70 - 79 Jahre","0",NA,NA,NA
2020-06-08,"80+ Jahre","0",NA,NA,NA
2020-06-15,"0 - 9 Jahre","0",NA,NA,NA
2020-06-15,"10 - 19 Jahre","0",NA,NA,NA
2020-06-15,"20 - 29 Jahre","0",NA,NA,NA
2020-06-15,"30 - 39 Jahre","0",NA,NA,NA
2020-06-15,"40 - 49 Jahre","0",NA,NA,NA
2020-06-15,"50 - 59 Jahre","0",NA,NA,NA
2020-06-15,"60 - 69 Jahre","0",NA,NA,NA
2020-06-15,"70 - 79 Jahre","0",NA,NA,NA
2020-06-15,"80+ Jahre","0",NA,NA,NA
2020-06-22,"0 - 9 Jahre","0",NA,NA,NA
2020-06-22,"10 - 19 Jahre","0",NA,NA,NA
2020-06-22,"20 - 29 Jahre","0",NA,NA,NA
2020-06-22,"30 - 39 Jahre","0",NA,NA,NA
2020-06-22,"40 - 49 Jahre","0",NA,NA,NA
2020-06-22,"50 - 59 Jahre","0",NA,NA,NA
2020-06-22,"60 - 69 Jahre","0",NA,NA,NA
2020-06-22,"70 - 79 Jahre","0",NA,NA,NA
2020-06-22,"80+ Jahre","0",NA,NA,NA
2020-06-29,"0 - 9 Jahre","0",NA,NA,NA
2020-06-29,"10 - 19 Jahre","0",NA,NA,NA
2020-06-29,"20 - 29 Jahre","0",NA,NA,NA
2020-06-29,"30 - 39 Jahre","0",NA,NA,NA
2020-06-29,"40 - 49 Jahre","0",NA,NA,NA
2020-06-29,"50 - 59 Jahre","0",NA,NA,NA
2020-06-29,"60 - 69 Jahre","0",NA,NA,NA
2020-06-29,"70 - 79 Jahre","0",NA,NA,NA
2020-06-29,"80+ Jahre","0",NA,NA,NA
2020-07-06,"0 - 9 Jahre","0",NA,NA,NA
2020-07-06,"10 - 19 Jahre","0",NA,NA,NA
2020-07-06,"20 - 29 Jahre","0",NA,NA,NA
2020-07-06,"30 - 39 Jahre","0",NA,NA,NA
2020-07-06,"40 - 49 Jahre","0",NA,NA,NA
2020-07-06,"50 - 59 Jahre","0",NA,NA,NA
2020-07-06,"60 - 69 Jahre","0",NA,NA,NA
2020-07-06,"70 - 79 Jahre","0",NA,NA,NA
2020-07-06,"80+ Jahre","0",NA,NA,NA
2020-07-13,"0 - 9 Jahre","0",NA,NA,NA
2020-07-13,"10 - 19 Jahre","0",NA,NA,NA
2020-07-13,"20 - 29 Jahre","0",NA,NA,NA
2020-07-13,"30 - 39 Jahre","0",NA,NA,NA
2020-07-13,"40 - 49 Jahre","0",NA,NA,NA
2020-07-13,"50 - 59 Jahre","0",NA,NA,NA
2020-07-13,"60 - 69 Jahre","0",NA,NA,NA
2020-07-13,"70 - 79 Jahre","0",NA,NA,NA
2020-07-13,"80+ Jahre","0",NA,NA,NA
2020-07-20,"0 - 9 Jahre","0",NA,NA,NA
2020-07-20,"10 - 19 Jahre","0",NA,NA,NA
2020-07-20,"20 - 29 Jahre","0",NA,NA,NA
2020-07-20,"30 - 39 Jahre","0",NA,NA,NA
2020-07-20,"40 - 49 Jahre","0",NA,NA,NA
2020-07-20,"50 - 59 Jahre","0",NA,NA,NA
2020-07-20,"60 - 69 Jahre","0",NA,NA,NA
2020-07-20,"70 - 79 Jahre","0",NA,NA,NA
2020-07-20,"80+ Jahre","0",NA,NA,NA
2020-07-27,"0 - 9 Jahre","0",NA,NA,NA
2020-07-27,"10 - 19 Jahre","0",NA,NA,NA
2020-07-27,"20 - 29 Jahre","0",NA,NA,NA
2020-07-27,"30 - 39 Jahre","0",NA,NA,NA
2020-07-27,"40 - 49 Jahre","0",NA,NA,NA
2020-07-27,"50 - 59 Jahre","0",NA,NA,NA
2020-07-27,"60 - 69 Jahre","0",NA,NA,NA
2020-07-27,"70 - 79 Jahre","0",NA,NA,NA
2020-07-27,"80+ Jahre","0",NA,NA,NA
2020-08-03,"0 - 9 Jahre","0",NA,NA,NA
2020-08-03,"10 - 19 Jahre","0",NA,NA,NA
2020-08-03,"20 - 29 Jahre","0",NA,NA,NA
2020-08-03,"30 - 39 Jahre","0",NA,NA,NA
2020-08-03,"40 - 49 Jahre","0",NA,NA,NA
2020-08-03,"50 - 59 Jahre","0",NA,NA,NA
2020-08-03,"60 - 69 Jahre","0",NA,NA,NA
2020-08-03,"70 - 79 Jahre","0",NA,NA,NA
2020-08-03,"80+ Jahre","0",NA,NA,NA
2020-08-10,"0 - 9 Jahre","0",NA,NA,NA
2020-08-10,"10 - 19 Jahre","0",NA,NA,NA
2020-08-10,"20 - 29 Jahre","0",NA,NA,NA
2020-08-10,"30 - 39 Jahre","0",NA,NA,NA
2020-08-10,"40 - 49 Jahre","0",NA,NA,NA
2020-08-10,"50 - 59 Jahre","0",NA,NA,NA
2020-08-10,"60 - 69 Jahre","0",NA,NA,NA
2020-08-10,"70 - 79 Jahre","0",NA,NA,NA
2020-08-10,"80+ Jahre","0",NA,NA,NA
2020-08-17,"0 - 9 Jahre","0",NA,NA,NA
2020-08-17,"10 - 19 Jahre","0",NA,NA,NA
2020-08-17,"20 - 29 Jahre","0",NA,NA,NA
2020-08-17,"30 - 39 Jahre","0",NA,NA,NA
2020-08-17,"40 - 49 Jahre","0",NA,NA,NA
2020-08-17,"50 - 59 Jahre","0",NA,NA,NA
2020-08-17,"60 - 69 Jahre","0",NA,NA,NA
2020-08-17,"70 - 79 Jahre","0",NA,NA,NA
2020-08-17,"80+ Jahre","0",NA,NA,NA
2020-08-24,"0 - 9 Jahre","0",NA,NA,NA
2020-08-24,"10 - 19 Jahre","0",NA,NA,NA
2020-08-24,"20 - 29 Jahre","0",NA,NA,NA
2020-08-24,"30 - 39 Jahre","0",NA,NA,NA
2020-08-24,"40 - 49 Jahre","0",NA,NA,NA
2020-08-24,"50 - 59 Jahre","0",NA,NA,NA
2020-08-24,"60 - 69 Jahre","0",NA,NA,NA
2020-08-24,"70 - 79 Jahre","0",NA,NA,NA
2020-08-24,"80+ Jahre","0",NA,NA,NA
2020-08-31,"0 - 9 Jahre","0",NA,NA,NA
2020-08-31,"10 - 19 Jahre","0",NA,NA,NA
2020-08-31,"20 - 29 Jahre","0",NA,NA,NA
2020-08-31,"30 - 39 Jahre","0",NA,NA,NA
2020-08-31,"40 - 49 Jahre","0",NA,NA,NA
2020-08-31,"50 - 59 Jahre","0",NA,NA,NA
2020-08-31,"60 - 69 Jahre","0",NA,NA,NA
2020-08-31,"70 - 79 Jahre","0",NA,NA,NA
2020-08-31,"80+ Jahre","0",NA,NA,NA
2020-09-07,"0 - 9 Jahre","0",NA,NA,NA
2020-09-07,"10 - 19 Jahre","0",NA,NA,NA
2020-09-07,"20 - 29 Jahre","0",NA,NA,NA
2020-09-07,"30 - 39 Jahre","0",NA,NA,NA
2020-09-07,"40 - 49 Jahre","0",NA,NA,NA
2020-09-07,"50 - 59 Jahre","0",NA,NA,NA
2020-09-07,"60 - 69 Jahre","0",NA,NA,NA
2020-09-07,"70 - 79 Jahre","0",NA,NA,NA
2020-09-07,"80+ Jahre","0",NA,NA,NA
2020-09-14,"0 - 9 Jahre","0",NA,NA,NA
2020-09-14,"10 - 19 Jahre","0",NA,NA,NA
2020-09-14,"20 - 29 Jahre","0",NA,NA,NA
2020-09-14,"30 - 39 Jahre","0",NA,NA,NA
2020-09-14,"40 - 49 Jahre","0",NA,NA,NA
